,0,1,2
0,"BA\/BS and 15+ years of prior relevant experience, Masters with 13+ years of prior relevant experience, or PhD with 11+ years of experience. Additional experience may be considered in lieu of degree.",business process consultant,finance
1,Demonstrated expertise in domain knowledge,business process consultant,finance
2,Demonstrated experience supervising at team of at least 5 personnel,business process consultant,finance
3,Demonstrated expertise in financial management to ensure technical requirements are met,business process consultant,finance
4,ITIL Certified; IAT or IAM Level III,business process consultant,finance
5,TS\/SCI Clearance ,business process consultant,finance
6,5+ years’ experience.,accounting manager,finance
7,Experience with Infor CSI or similar ERP platform is a plus.,accounting manager,finance
8,Experience with companies using native ERP systems is a plus.,accounting manager,finance
9,Corporate income tax knowledge a plus.,accounting manager,finance
10,Bachelor’s degree required; CPA preferred,accounting manager,finance
11,"Experience in Manufacturing, Commercial Real Estate a plus",accounting manager,finance
12,Education Level: Bachelor's Degree,cloud financial analyst,finance
13,"5 years IT Financial Management OR inlieu of a Bachelor's degree, an additional 4 years of relevant work experience is required in addition to the required work experience.",cloud financial analyst,finance
14,Ability to work independently and as part of a team,cloud financial analyst,finance
15,Ability to multitask and prioritize deadlines,cloud financial analyst,finance
16,Excellent verbal and written communication skills with great attention to detail and accuracy,cloud financial analyst,finance
17,Experience working in an Agile\/Scrum environment,cloud financial analyst,finance
18,"Experience in building and operating financial control and analysis systems (cloud cost analysis, showback, and chargeback)",cloud financial analyst,finance
19,Ability to report on financial data,cloud financial analyst,finance
20,Experience understanding how cloud resources are tagged\/accounted for,cloud financial analyst,finance
21,Experience providing suggestions about cost optimizations,cloud financial analyst,finance
22,Experience reporting to individual application owners or IT on cost savings ideas,cloud financial analyst,finance
23,"Must be able to effectively work in a fast-paced environment with frequently changing priorities, deadlines, and workloads that can be variable for long periods of time. Must be able to meet established deadlines and handle multiple customer service demands from internal and external customers, within set expectations for service excellence. Must be able to effectively communicate and provide positive customer service to every internal and external customer, including customers who may be demanding or otherwise challenging.",cloud financial analyst,finance
24,"BS in Electrical Engineering or related field, along with PE certification, and 10+ years of experience in all aspects of MEP project management",construction electrical engineer,construction
25,Experience with design and\/or project management of electrical building systems,construction electrical engineer,construction
26,Demonstrated success in effective project management - bringing in projects on time and on budget,construction electrical engineer,construction
27,Capable and willing to assist in business development,construction electrical engineer,construction
28,"Excellent communication skills and outstanding leadership qualities, and demonstrated ability to get things done under pressure",construction electrical engineer,construction
29,"Provide high quality project management of MEP engineering services for a range of building types, including commercial, industrial, municipal, multifamily and educational",construction electrical engineer,construction
30,"Manage the preparation of estimates and proposal submittals, along with any required project documentation",construction electrical engineer,construction
31,Ensure that all projects are running on schedule \/ on budget and communicate project status to internal and external audiences,construction electrical engineer,construction
32,Develop and maintain relationships with existing and potential clients to facilitate business development,construction electrical engineer,construction
33,"Plan, design, and manage building, infrastructure and other construction projects.",construction field engineer,construction
34,"Inspecting and installing equipment and new technologies, directing crews or workers on site, conducting research, and reporting on project status. Field engineers will make sure that everything works smoothly and engineering designs are being followed.",construction field engineer,construction
35,Must have a degree in Construction or equivalent related experience.,construction field engineer,construction
36,TS\/SCI Clearance,contracts analyst,finance
37,"Microsoft Suite - Word, Powerpoint, Excel, Adobe",contracts analyst,finance
38,A minimum of 4-5 years’ experience working within the field of Government contracting.,contracts analyst,finance
39,An educational background in business or other contracting or Certifications like DAWIA\/FAC-C Level II,contracts analyst,finance
40,Bachelors in relevant field (or equivalent experience),contracts analyst,finance
41,Active TS\/SCI clearance,contracts analyst,finance
42,Must have extensive business analysis or project management experience within a finance environment\/department,financial business analyst,finance
